Feature1,Feature2,Feature3,Feature4,Target
7.1611,1012.8,23.842,550.11,133.45
7.3617,1013.5,23.833,549.72,133.69
7.2594,1014.1,23.791,550.06,133.68
6.9188,1014.5,23.733,549.9,133.69
6.8903,1014.7,23.732,550.06,133.69
6.7569,1015.1,23.747,550.24,133.65
6.7155,1015.7,23.549,549.88,132.76
6.817,1016.3,27.276,540.77,144.56
6.8973,1016.7,32.598,527.78,163.61
6.9282,1017.2,33.185,525.8,164.99
6.9957,1017.5,32.966,526.66,164.67
7.2848,1017.6,32.71,527.25,163.96
7.4902,1018.2,32.894,526.59,164.43
7.3078,1019.8,23.395,550.34,133.99
7.3157,1019.9,23.556,549.77,134.49
7.3168,1020.1,23.397,549.74,133.72
7.1878,1020.3,28.507,536.99,149.68
7.1168,1020.4,24.208,549.98,137.65
7.1325,1020.5,23.282,549.86,133.5
7.2618,1020.5,23.529,550.06,134.44
7.6137,1020.7,23.531,550.02,134.2
7.8848,1020.6,23.475,550.03,133.69
7.9395,1020.3,23.426,550.03,133.68
7.9592,1020.2,23.441,549.82,133.69
7.9442,1020.4,23.43,550.12,133.63
8.0315,1020.7,23.369,549.87,133.43
8.1683,1020.7,29.952,534.49,154.39
8.4858,1021.1,33.433,525.18,164.52
9.2573,1021.2,33.012,526.68,162.96
10.061,1020.9,32.484,528.57,161.34
10.577,1020.4,32.646,528.01,161.51
10.628,1020,32.513,528.53,161.46
10.451,1020.2,32.661,528.11,161.87
10.281,1020.4,32.932,526.84,163.2
10.055,1020.7,32.892,526.99,163.11
6.988,1021.5,23.758,548.96,135.11
6.6543,1021.5,23.219,549.8,133.33
5.4611,1021.8,23.357,549.71,134.37
5.8372,1022.1,23.428,549.79,134.08
7.0528,1022.2,23.423,550.18,133.46
7.1873,1022.5,23.218,550.04,132.96
6.6405,1022.1,23.456,549.92,134.35
6.1033,1021.9,23.222,549.98,133.67
5.4546,1021.6,23.166,549.84,133.67
5.1361,1021.7,23.113,550.06,133.68
4.9719,1022,23.5,549.16,134.69
6.7097,1022.8,32.874,526.13,165.17
7.3372,1023,33.322,524.71,165.87
7.6952,1022.8,32.961,526,165.2
7.4018,1022.6,33.441,524.69,166.01
7.8167,1022.2,32.893,526.21,164.73
8.5781,1022,33.079,525.78,164.42
9.841,1022.2,32.624,527.61,162.56
10.084,1022.7,33.023,526.27,163.57
9.5484,1023.1,32.928,526.54,163.75
8.7161,1023.5,33.466,525.02,165.54
8.3411,1023.6,33.01,526.64,164.75
7.9543,1023.7,33.623,524.27,166.23
7.5402,1023.8,33.582,524.53,166.31
6.4237,1024.1,23.638,549.55,135.94
6.3186,1024.3,23.242,550.02,133.39
5.9587,1024.7,22.41,550.03,129.39
5.9384,1025.1,22.867,550.26,131.25
5.7952,1025.2,23.667,549.92,134.68
5.7183,1025.1,23.831,549.92,134.64
5.9779,1025.3,23.656,549.96,133.69
6.0551,1025.7,23.607,550.03,133.67
6.1375,1026,26.702,540.97,142.94
6.1271,1026.3,32.44,527.88,164.51
6.4082,1026.6,32.841,526.79,164.8
7.6426,1026.7,33.178,526.12,164.56
9.4701,1026.4,33.135,526.22,162.97
10.94,1026,32.783,528.13,161.45
11.613,1025.7,32.332,529.62,159.84
12.066,1025.6,33.026,527.36,161.38
12.451,1025.6,32.702,528.41,160.7
12.165,1025.8,32.942,527.86,161.7
10.893,1025.8,32.708,528.3,162.39
9.7483,1026,33.2,525.95,164.05
8.6902,1026.2,33.39,525.48,165.26
5.3738,1025.5,23.507,549.87,133.63
5.4462,1025.4,23.423,550.09,132.46
5.6988,1025.2,23.787,550.11,133.68
5.8975,1025,23.81,549.91,133.68
6.2033,1025,23.853,549.94,133.67
6.664,1024.8,23.866,549.8,133.68
7.2426,1024.8,23.986,550.14,133.67
7.7232,1024.7,24.058,549.78,133.67
8.2577,1025.2,34.192,523.64,165.53
8.7557,1025.2,33.743,524.57,165.05
10.034,1024.6,33.093,526.7,162.46
11.602,1024,32.395,529.12,160.38
12.244,1023.5,32.81,528.08,160.99
12.406,1023.4,32.508,529.14,160.39
12.235,1023.2,32.91,527.76,161.21
11.162,1023.5,33.026,527.36,162.39
10.391,1023.5,32.868,527.82,162.77
5.6607,1022.1,31.87,529.64,161.45
5.0722,1021.8,23.742,549.99,134.67
4.8119,1021.8,23.956,549.77,134.67
5.087,1021.6,23.889,550,134.19
5.6301,1021.3,23.865,550.18,133.67
5.912,1021.1,23.854,550.21,133.67
6.126,1020.9,23.902,550.39,133.66
6.3422,1021.1,23.902,550.32,133.68
6.5693,1021.5,23.949,550.21,133.67
7.2088,1021.8,24.037,550.09,133.67
8.7186,1021.9,30.271,533.76,152.15
10.116,1021.3,32.622,529.29,161.03
11.933,1020.8,26.939,542.73,142.62
12.712,1020.6,23.903,550.08,132.75
12.786,1020.6,23.884,549.86,132.71
12.644,1020.6,23.934,549.62,132.7
12.359,1020.7,26.621,543.22,141.2
11.775,1021.1,32.612,528.97,161.03
11.103,1021.3,32.942,528.24,162.07
10.288,1021.5,33.215,526.67,163.04
10.327,1021.3,33.116,527.54,163.13
10.118,1021.1,33.142,527.23,163.22
9.7843,1021.3,26.272,543.65,141.54
9.4768,1021.3,23.729,549.81,133.72
8.9205,1021.3,23.664,550.07,133.68
8.2064,1021.4,23.612,549.85,133.68
7.2737,1021.4,23.518,550.06,133.65
6.8282,1021.6,23.49,550.03,133.68
6.5604,1022,23.467,549.86,133.66
6.2478,1022.4,23.899,549.84,135.86
8.3623,1023,33.19,527.26,163.42
12.438,1022.7,32.61,529.09,159.85
12.5,1022.2,32.309,530.33,159.23
12.734,1022.3,32.536,529.32,159.51
13.173,1022.3,32.168,530.5,158.78
13.22,1022.4,32.671,528.65,160.33
12.585,1022.4,32.569,529.47,160.64
11.631,1022.6,33.207,526.92,162.92
10.248,1022.5,32.98,527.4,163.17
9.3432,1022.3,33.314,526.04,164.27
8.672,1022.3,33.303,525.88,164.78
8.2761,1021.7,31.101,531.58,157.74
8.8891,1021.4,23.808,549.87,134.33
9.2962,1021.4,23.706,550.17,133.7
9.2916,1021,23.746,550,133.7
9.2871,1020.7,23.753,549.79,133.69
9.2303,1020.5,23.765,550.1,133.7
9.1345,1020.4,23.758,550.02,133.66
9.1202,1020.5,23.781,550.15,133.87
9.2353,1020.5,30.303,533.46,153.35
9.5996,1020.4,32.468,529.48,161.54
10.721,1020.1,32.736,528.55,160.91
11.886,1019.5,32.239,530.17,159.21
12.592,1018.8,32.402,529.86,159.13
13.208,1018.1,32.127,530.93,158.39
13.182,1017.8,32.429,529.97,158.97
13.311,1017.7,32.195,530.61,158.54
13.56,1017.7,32.644,529.17,159.89
13.103,1017.8,32.03,531.41,159.04
10.367,1017.5,33.001,527.98,162.75
9.7836,1017.3,33.387,526.43,164.15
8.2631,1016.5,27.687,539.82,146.5
7.7477,1016.2,23.444,550.24,133.08
7.3956,1016.2,23.879,550.41,134.67
7.0925,1015.9,23.965,549.94,134.67
7.4034,1015.7,24.076,549.95,134.67
7.2227,1015.6,24.002,549.94,134.68
7.0146,1015.7,23.96,550.05,134.58
6.861,1015.8,24.448,548.98,135.52
9.5474,1015.7,32.788,528.58,161.49
11.265,1015.5,32.425,530.54,160.43
11.983,1015,32.547,529.53,160.35
12.924,1014.6,32.085,531.33,158.55
13.483,1014.6,32.508,530.34,159.06
13.906,1014.7,32.098,531.17,158.14
13.739,1014.8,32.399,530.43,159.06
13.411,1015.1,32.343,530.84,159.65
13.029,1015.3,32.607,529.96,160.43
10.725,1015.3,33.15,527.31,162.99
10.419,1015.2,32.874,528.13,162.49
10.106,1015.2,33.161,527.24,163.01
9.6368,1015.1,32.868,528.35,162.84
9.3112,1015,23.729,549.69,134.32
9.1255,1014.8,23.596,549.76,133.69
9.0689,1014.9,23.594,550.06,133.69
9.0954,1014.8,23.615,550.01,133.69
9.196,1014.5,23.662,549.95,133.68
9.2193,1014.5,23.659,549.96,133.69
9.1515,1014.7,23.611,550.17,133.59
9.2894,1015.2,24.223,549.95,135.59
9.5514,1015.6,30.867,532.03,154.75
10.214,1015.6,32.433,529.86,161
11.576,1015.6,32.441,529.68,160.11
12.255,1014.9,32.001,531.42,158.98
12.773,1014.1,32.207,530.75,158.95
12.873,1013.5,31.972,531.6,158.46
12.83,1013.1,32.214,530.81,158.85
12.744,1012.9,31.972,531.81,158.42
12.596,1013.1,32.349,530.62,159.53
11.997,1013.2,32.265,530.53,160.1
11.629,1013.6,32.944,528.2,161.75
11.328,1013.6,32.429,530.23,160.76
11.371,1013.6,32.663,529.32,161.37
11.288,1013.4,32.604,529.86,161.19
11.065,1013.1,32.631,529.63,161.32
11.039,1013.2,28.715,538.75,148.89
11.015,1013,23.972,550.09,133.9
10.946,1012.8,23.967,550.02,133.67
10.93,1012.6,23.999,549.89,133.66
10.819,1012.3,23.98,549.95,133.68
10.743,1012.3,23.968,549.99,133.68
10.679,1012.3,23.981,550.04,133.67
10.727,1012.7,23.906,550.05,133.56
10.71,1013.1,23.748,549.76,133.13
10.681,1013.6,31.974,530.61,158.9
11.737,1013.9,32.346,530.47,160.27
12.167,1013.6,32.52,529.91,160.26
12.717,1013.5,32.213,531.11,159.46
12.857,1013.6,32.363,530.5,159.65
12.378,1013.9,32.214,530.95,159.9
12.09,1013.8,32.675,529.36,160.87
7.5096,1015.1,28.345,538.94,149.35
7.1508,1015.1,23.563,550.11,133.98
6.7584,1015.2,23.747,550.29,133.57
6.5279,1015.4,24.117,549.68,134.21
8.7447,1015.2,24.25,550.07,133.68
9.2724,1015.4,24.329,550.13,133.67
9.7363,1015.8,24.195,549.95,133.26
9.8085,1016.3,28.512,538.37,147.98
10.242,1016.4,32.655,529.19,161.74
11.288,1016.2,32.618,529.4,160.66
12.344,1015.8,32.151,530.96,159.17
12.952,1015.3,32.387,530.29,159.26
13.315,1014.8,32.067,531.4,158.35
13.55,1014.6,32.278,530.59,158.68
13.777,1014.5,29.021,538.37,148.31
13.692,1014.4,32.218,531.13,158.81
13.514,1014.3,32.071,531.65,158.9
13.021,1014.4,32.959,528.88,161.07
10.908,1014.1,33.052,528.58,162.69
9.4039,1014.2,23.905,549.49,134.28
9.5635,1013.7,23.696,550.18,133.04
9.4239,1013.5,28.44,539.14,148.2
9.6916,1013.6,28.166,539.34,147.15
10.562,1013.5,23.936,550.15,133.69
11.31,1013.4,23.939,550.15,133.68
11.565,1013.5,23.932,549.95,133.68
11.531,1013.9,23.886,550.24,133.68
11.353,1014.7,23.923,549.99,133.69
11.251,1015.4,23.987,549.92,133.66
11.351,1015.9,23.948,549.81,133.55
11.743,1016.3,26.203,544.55,140.46
12.047,1016.6,32.106,530.01,159.7
11.916,1016.9,32.058,529.82,159.87
11.684,1017.3,32.215,529.36,160.25
11.751,1018.1,31.989,529.94,159.83
11.868,1019.1,32.34,528.87,160.45
11.863,1019.8,32.189,529.59,160.28
11.715,1020.7,32.409,528.53,160.98
11.718,1021.5,31.707,530.77,159.55
11.68,1022.2,32.585,527.79,161.55
11.627,1022.9,32.358,528.38,161.31
11.443,1023.4,32.962,526.55,162.59
11.106,1023.9,32.535,527.79,161.95
10.812,1024.3,23.892,549.6,134.84
10.616,1024.4,23.333,549.62,132.75
10.481,1024.5,23.421,549.88,133.21
10.416,1024.6,23.56,549.97,133.68
10.319,1024.8,23.556,550.12,133.67
10.264,1025,23.548,549.79,133.66
10.159,1024.9,23.534,550.23,133.67
10.074,1025.2,23.52,550.01,133.64
9.8291,1025.7,24.295,549.42,136.89
9.7479,1025.9,35.429,518.23,168.18
9.8288,1026,35.703,517.12,168.63
10.317,1026.2,35.85,516.96,168.6
10.756,1026,35.809,517.2,168.38
11.256,1025.7,35.676,517.69,167.89
11.558,1025.5,35.679,517.36,167.82
11.416,1025.5,35.77,517.17,168.06
11.091,1025.5,35.868,516.9,168.51
10.397,1025.5,35.968,516.4,168.99
9.4127,1025.7,35.171,519.48,168.51
8.8544,1025.7,34.974,520.75,168.21
8.3351,1025.6,30.886,531.62,157.89
7.6761,1025.3,23.394,550.06,133.63
7.1663,1025.2,23.141,550.13,133.25
6.688,1025.1,23.235,549.96,133.61
6.5309,1025,23.303,550.13,133.58
6.4385,1024.7,23.362,549.84,132.89
6.361,1024.4,23.313,549.83,132.87
6.0249,1024.3,23.532,550.09,134.04
5.6936,1023.9,23.46,549.76,133.67
5.5752,1023.7,23.476,549.95,133.67
5.6362,1023.5,23.53,550.05,133.68
5.6416,1023.5,23.481,549.94,133.65
5.5981,1023.5,23.999,548.8,135.03
5.783,1023.6,34.111,523.37,166.48
6.4367,1023.5,33.686,524.7,165.64
8.0541,1023.2,33.015,527.32,163.09
9.6791,1022.7,32.252,529.64,160.9
10.467,1022.2,32.853,528.39,161.74
11.205,1021.7,32.264,530.21,160.14
11.766,1021.5,32.695,528.58,160.78
12.189,1021.4,32.448,529.79,160.33
8.148,1020.2,33.147,526.96,163.37
10.05,1019.7,32.405,529.49,160.86
10.995,1019.1,32.624,529,160.91
11.678,1018.5,32.613,528.91,160.88
12.042,1018.1,32.485,529.34,160.4
12.194,1017.8,32.436,529.77,160.45
12.186,1017.5,32.506,529.64,160.77
11.668,1017.6,32.362,529.94,161.15
10.673,1017.8,33.843,525.06,164.89
7.4653,1017,23.499,549.36,133.96
7.7144,1016.7,23.501,549.74,133.56
7.7605,1016.6,23.573,549.91,133.37
7.8805,1016.4,23.698,549.62,133.67
7.8172,1015.9,23.954,549.71,134.84
7.6759,1015.5,23.663,549.97,133.67
7.803,1015.3,23.701,549.83,133.68
7.8899,1015.5,23.672,550.12,133.6
7.904,1015.6,24.07,549.83,135.18
7.6227,1015.7,33.163,527.18,164.48
7.9799,1015.8,32.689,528.62,163.32
9.3495,1015.9,32.815,527.79,162.48
11.006,1015.5,32.266,529.93,160.34
11.595,1015,32.522,529.42,160.61
11.705,1014.5,31.954,531.64,159.23
11.842,1014.5,32.488,529.76,160.2
12.191,1014.6,32.163,530.68,159.64
12.191,1014.8,32.52,529.7,160.55
11.54,1014.8,32.365,530.73,160.94
11.164,1015,33.272,527.34,162.8
7.7408,1016,23.76,549.73,134.87
7.3334,1016.1,23.642,549.69,134.12
7.1875,1016.1,23.848,549.88,133.68
7.808,1016.3,23.949,549.88,133.69
8.278,1016,23.971,550.09,133.69
8.5484,1015.7,24.07,549.9,134
8.6131,1015.8,23.969,549.74,133.69
8.5669,1016.1,23.978,549.59,133.67
8.6192,1016.5,26.967,542.89,143.14
8.9742,1016.6,32.06,530.64,161.32
9.4873,1016.9,32.068,530.75,160.71
10.947,1016.8,32.13,530.87,159.78
12.181,1016.7,32.139,530.64,159.04
12.928,1016.2,24.27,549.32,134.25
13.434,1015.8,32.45,529.72,158.91
14.02,1015.6,31.567,532.22,156.89
14.44,1015.5,31.891,531.51,157.52
14.376,1015.5,31.707,532.64,157.34
14.075,1015.5,32.115,531.34,158.04
13.545,1015.7,33.188,527.98,160.71
12.542,1015.7,32.751,529.15,160.86
11.638,1015.5,33.144,527.8,161.86
12.035,1015.3,33.011,528.33,160.95
12.446,1015.4,32.775,529.47,160.26
12.695,1015.3,24.903,549.42,136.28
12.85,1015.2,24.37,549.73,134.45
12.203,1015.1,24.108,549.85,133.75
11.746,1015.1,24.084,550.29,133.67
11.514,1015,24.154,549.86,134.13
11.972,1014.4,24.166,549.96,133.66
12.716,1014.3,24.263,550.33,133.66
12.544,1014.5,24.221,550.03,133.58
12.426,1014.7,24.074,550.29,132.98
12.539,1014.7,29.613,536.34,148.92
12.887,1014.7,32.218,531.32,158.15
13.323,1014.6,31.603,533.08,156.68
13.615,1014.2,31.959,531.61,157.31
13.813,1013.7,31.655,532.83,156.72
13.818,1013.2,32.222,531.26,157.73
14.043,1013.3,31.848,532.78,156.94
13.926,1013.4,32.009,531.91,157.42
13.83,1013.3,31.801,533.19,157.02
13.801,1013.1,31.935,532.08,157.28
13.896,1013.1,31.603,533.4,156.38
13.949,1013.2,31.727,532.8,156.7
14.403,1013,31.637,533.13,156.59
14.805,1012.9,32.096,531.67,157.54
14.778,1012.8,24.308,550.2,133.54
13.779,1012.7,24.77,550.14,135.77
13.085,1012.2,24.392,550.07,134.34
13.135,1011.7,24.199,550,133.29
12.975,1011.8,24.316,549.87,134.06
13.252,1011.4,24.292,550.09,133.66
14.153,1010.6,24.321,549.61,133.65
14.576,1010.1,24.284,550.12,133.67
14.717,1009.9,24.268,549.84,133.67
14.648,1009.6,24.296,550.1,133.67
14.919,1009.3,24.289,550.26,133.61
15.883,1009.1,24.299,550.09,133.11
15.964,1009.7,24.41,550.38,134.09
14.647,1009.2,24.27,550.27,133.69
14.526,1009,24.251,549.83,133.68
14.485,1008.8,24.528,550.1,134.9
14.727,1009,24.307,550.19,133.67
14.401,1009,24.27,549.84,133.66
14.32,1009.3,24.518,549.58,134.56
13.978,1009.6,31.949,532.13,157.89
13.585,1010.2,24.507,549.95,134.78
13.89,1010.5,24.268,550,133.12
12.157,1011.1,24.067,550.31,133.7
10.013,1010.8,23.616,550.02,132.67
9.4511,1010.4,23.705,550.01,133.45
8.3283,1011.5,23.625,549.95,133.87
7.4789,1010.8,23.541,549.96,133.67
7.1925,1010.7,23.535,549.98,133.66
7.0393,1010.8,23.545,549.94,133.67
7.2172,1010.7,23.588,549.96,133.66
7.6758,1010.8,23.663,549.97,133.57
7.9616,1011.1,24.103,549.96,135.56
8.3524,1011.7,33.218,527.79,163.23
8.8093,1011.8,32.736,529.06,162.4
9.2692,1012.2,32.7,528.98,162.4
9.3438,1012.1,32.354,529.83,161.99
9.2048,1011.9,32.669,528.34,162.98
8.9018,1011.7,32.494,529.43,162.77
8.7658,1011.5,32.847,528.03,163.31
8.6679,1011.8,32.566,528.66,162.85
8.5987,1011.8,32.869,527.83,163.5
8.3521,1011.8,32.316,529.94,162.63
8.2285,1011.9,32.567,528.92,162.96
8.2809,1011.5,32.696,528.31,163.36
8.3435,1010.8,32.935,527.8,163.62
8.532,1009.8,33,527.61,163.78
8.2247,1009.1,32.978,527.97,163.6
7.9803,1008.7,32.991,527.95,163.84
7.9837,1008.1,23.307,549.76,132.89
7.9106,1008,23.264,549.83,132.55
7.785,1008.2,23.616,549.92,134.12
7.5117,1008.1,23.488,550,133.67
7.3019,1008.2,23.476,550.02,133.68
7.2812,1008.3,23.475,550,133.68
7.2218,1008.4,23.425,550.09,133.57
6.8968,1008.2,23.888,548.85,135.13
6.7758,1008.3,33.864,524.78,166.46
6.8688,1008.6,32.82,527.6,164.7
7.0694,1008.7,32.602,528.48,164.31
7.1122,1008.8,32.958,527.2,165.18
6.7531,1008.3,32.718,527.93,165.09
6.3999,1007.8,33.195,526.84,166.23
5.9429,1007.8,33.041,526.95,166.25
5.4257,1007.5,33.405,525.8,167.07
4.6971,1007.4,33.258,526.53,167.19
4.1467,1007.6,33.492,525.4,167.9
3.9427,1008.1,33.263,526.06,167.5
3.9986,1008.5,33.651,524.88,168.37
4.1496,1008.8,33.772,524.36,168.71
4.2385,1009.3,33.82,523.99,168.71
3.9975,1009.6,33.615,524.76,168.47
3.9917,1009.7,33.62,524.56,168.54
4.2277,1009.9,23.387,549.44,134.06
4.5002,1010.2,23.585,549.73,133.82
4.3771,1010.8,23.523,550.06,133.67
4.0772,1011.1,23.49,550.04,133.67
4.1564,1011.4,23.55,550.06,133.66
4.3561,1011.5,23.567,549.94,133.6
4.4922,1011.9,23.538,550.17,133.39
4.7781,1012.3,23.891,549.97,134.85
4.7968,1012.6,32.395,527.46,161.72
4.8595,1012.9,32.98,527.27,166.35
4.7803,1013,33.603,524.78,167.89
4.8608,1012.7,33.361,525.83,167.41
5.1055,1012.2,33.4,525.39,167.31
5.4001,1011.4,32.913,527.27,166.12
6.1384,1011.2,33.149,526.29,165.99
6.7452,1011.3,32.925,527.18,165.16
7.1703,1011.5,33.11,526.63,165.19
7.1935,1011.5,32.702,527.8,164.59
7.141,1011.7,32.838,528.05,164.49
6.8359,1011.9,33.13,526.87,165.43
6.6964,1012,29.1,537.17,152.42
6.5686,1012.3,23.516,549.86,134.33
6.766,1012.6,23.622,549.82,134.39
6.8864,1012.8,23.529,550.17,132.98
7.0153,1012.8,23.673,549.97,133.64
5.8524,1013.1,23.425,550.13,133.68
5.1642,1013.5,23.349,550.03,133.71
5.1003,1013.8,23.412,549.88,133.69
5.4117,1014.1,23.564,550.13,133.7
5.4251,1014.4,23.596,549.92,133.58
5.2061,1014.9,23.389,549.76,132.88
5.016,1015.4,23.8,550.04,134.81
5.1759,1016.1,24.034,549.92,135.85
5.3294,1016.5,35.271,519.9,170
5.7167,1016.8,33.581,525.5,166.88
5.9797,1016.5,34.047,524.15,167.73
6.6103,1015.8,33.33,527.02,165.56
7.825,1015.6,32.656,528.91,163.14
8.208,1015.8,33.049,527.68,164.07
8.3568,1016.3,33.309,526.57,164.54
7.9557,1016.3,33.023,527.78,164.34
7.1863,1016.5,33.587,525.68,166.19
6.7158,1016.9,33.69,525.26,166.32
6.2824,1016.9,23.789,550.04,134.36
5.7675,1016.9,23.822,550.17,133.73
5.2219,1017,23.844,550.25,134.01
5.1186,1017.1,23.778,550.02,133.52
5.0959,1017.4,23.921,549.81,134.51
5.2282,1017.2,23.725,550.03,133.62
5.2353,1017,23.886,550.09,134.24
5.0342,1016.9,23.808,549.85,133.68
5.1305,1016.7,23.821,549.81,133.67
5.1481,1016.3,23.832,550.36,133.68
5.4407,1015.9,23.92,550.02,133.68
5.9846,1015.9,23.816,549.8,133.51
6.4945,1016.3,23.86,550.13,134.08
6.5905,1016.5,23.617,550.31,132.86
7.2289,1016.5,30.418,534.49,155.63
8.1818,1016.7,32.413,529.61,162.25
9.6763,1015.5,32.521,529.02,161.63
10.554,1014.9,23.672,549.89,133.56
11.046,1014.6,26.872,542.23,143.17
11.082,1014.4,32.192,530.31,160.6
10.897,1014,28.999,536.27,149.96
10.604,1013.6,27.36,540.93,144.93
10.132,1013.6,32.363,529.66,161.68
10.024,1014,25.697,546.16,141.03
10.009,1014,26.103,544.81,142.27
9.8537,1014,23.265,549.19,131.73
9.8118,1014.1,24.071,549.86,135.5
9.6955,1013.8,24.096,550.17,135.56
9.5991,1013.6,24.101,550.15,135.61
9.359,1013.6,24.094,550.02,135.48
9.2014,1013.7,23.729,550.09,133.66
9.0852,1013.6,23.876,549.87,134.08
8.9575,1013.5,23.765,550.05,133.67
8.8845,1013.6,23.758,550.18,133.67
8.7066,1013.7,23.658,549.99,133.65
8.8455,1014.1,23.639,549.83,133.67
8.7519,1014.4,23.807,549.88,134.55
8.6391,1015.1,23.594,549.91,133.44
8.6229,1015.3,23.973,550.01,135.47
9.1053,1015.3,26.931,542.99,143.25
9.141,1015.2,35.881,517.77,168.78
8.8335,1015.1,31.723,528.35,159.76
9.2317,1015,33.265,526.29,163.82
9.5031,1015.1,32.622,528.64,162.49
8.8846,1015.6,28.354,539.06,149.47
8.3176,1015.7,23.688,549.58,134.76
7.8225,1015.9,23.591,549.83,134.77
7.096,1016.4,23.787,550.14,136.16
6.5748,1016.6,23.534,549.91,135.01
6.3669,1016.8,23.744,549.93,134.78
6.019,1017.1,23.893,550.17,135.43
5.2055,1017,23.867,549.88,135.5
4.7427,1016,23.591,549.89,133.67
4.6404,1016.3,23.482,549.8,133.67
4.5034,1016.7,23.304,550.08,133.12
4.5008,1017.1,23.466,549.78,133.68
5.1002,1017,23.596,549.93,133.68
6.299,1016.8,23.597,550.09,133.68
7.0567,1016.6,23.322,550.07,133.67
7.7453,1016.1,23.431,549.95,133.67
8.106,1015.7,23.446,549.87,133.68
8.1465,1015.5,23.54,549.68,133.8
8.1627,1015.3,23.577,549.89,133.65
7.9658,1015.1,23.629,549.99,133.66
7.2061,1015.3,23.515,549.77,133.56
6.1806,1015.5,23.541,549.92,134.3
5.2588,1015.8,23.501,550.09,134.36
4.6801,1016,23.545,550.15,134.68
4.4363,1016.1,23.611,550.09,134.04
4.4067,1016.2,23.584,549.73,134.22
4.0644,1016.2,23.454,549.99,133.91
3.6613,1016.3,23.657,550.09,134.34
3.4304,1016.2,23.48,549.73,133.67
3.1848,1016.2,23.597,549.94,134.3
2.9468,1016.2,23.325,550.15,133.66
2.5856,1016.3,23.558,549.65,133.67
2.3981,1016.5,23.642,549.74,133.67
2.3323,1016.9,23.533,549.9,133.45
2.3419,1017.4,23.471,550.16,133.5
2.8864,1018,23.589,550.26,133.57
4.286,1018.4,29.99,534.69,154.88
5.3698,1018.9,33.3,526.12,165.36
6.6413,1018.8,32.588,528.71,163.43
7.7326,1018.6,33.135,526.34,164.35
8.0233,1018.5,32.405,528.66,163.23
7.9698,1018.5,33.261,525.95,164.95
7.8002,1018.5,32.82,526.95,164.45
6.2488,1019.7,32.521,527.3,165.3
4.9889,1020.4,31.02,530.83,160.35
5.2592,1021,23.075,550.11,134.06
5.4882,1021.4,23.275,549.87,134.49
5.5021,1021.5,32.395,527.38,162.66
5.2458,1021.5,28.48,536.69,151.26
